feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,120,rbf,0.1,0.01,scale,3,8.047677628682871,0.8491929109936324,12.576767556811085,16.99379042735557
A,15,10,120,rbf,0.1,0.01,0.01,2,6.664913755853791,0.8591518629400519,11.863644429370572,16.166832608434806
A,15,10,120,rbf,0.1,0.01,0.01,3,6.664913755853791,0.8591518629400519,11.863644429370572,16.166832608434806
A,15,10,120,rbf,0.1,0.1,scale,2,8.04232936483865,0.8492201689019989,12.575111901426006,16.991885730737714
A,15,10,120,rbf,0.1,0.1,scale,3,8.04232936483865,0.8492201689019989,12.575111901426006,16.991885730737714
A,15,10,120,rbf,0.1,0.1,0.01,2,6.665637015976055,0.8591555485097772,11.863866259071752,16.16709443930927
A,15,10,120,rbf,0.1,0.1,0.01,3,6.665637015976055,0.8591555485097772,11.863866259071752,16.16709443930927
A,15,10,120,rbf,1.0,0.01,scale,2,6.556140104788026,0.8685699195410587,10.048641112081686,14.92514076432418
A,15,10,120,rbf,1.0,0.01,scale,3,6.556140104788026,0.8685699195410587,10.048641112081686,14.92514076432418
A,15,10,120,rbf,1.0,0.01,0.01,2,6.141435892045548,0.8702894458112114,10.50832522686381,15.14607868322922
A,15,10,120,rbf,1.0,0.01,0.01,3,6.141435892045548,0.8702894458112114,10.50832522686381,15.14607868322922
A,15,10,120,rbf,1.0,0.1,scale,2,6.5571810106985735,0.8685440289660052,10.048284250426123,14.925388728938952
A,15,10,120,rbf,1.0,0.1,0.01,2,6.1421623754686365,0.8703017554326419,10.507764094154208,15.14586894270855
A,15,10,120,rbf,1.0,0.1,scale,3,6.5571810106985735,0.8685440289660052,10.048284250426123,14.925388728938952
A,15,10,120,rbf,1.0,0.1,0.01,3,6.1421623754686365,0.8703017554326419,10.507764094154208,15.14586894270855
A,15,10,120,rbf,10.0,0.01,scale,2,6.954752187569274,0.8710056593532187,9.476229302754158,14.84349432640855
A,15,10,120,rbf,10.0,0.01,scale,3,6.954752187569274,0.8710056593532187,9.476229302754158,14.84349432640855
A,15,10,120,rbf,10.0,0.01,0.01,2,6.201091365706041,0.8738412522230931,9.891751225680252,14.811882775520804
A,15,10,120,rbf,10.0,0.01,0.01,3,6.201091365706041,0.8738412522230931,9.891751225680252,14.811882775520804
A,15,10,120,rbf,10.0,0.1,scale,2,6.9505825722045005,0.8709867676282339,9.47763998244799,14.8440295854264
A,15,10,120,rbf,10.0,0.1,scale,3,6.9505825722045005,0.8709867676282339,9.47763998244799,14.8440295854264
A,15,10,120,rbf,10.0,0.1,0.01,2,6.201940971568032,0.8738567884630527,9.892116199293556,14.811826158941642
A,15,10,120,linear,0.1,0.01,scale,2,5.205507237748529,0.8650177709564092,13.45318368789313,17.030710243632978
A,15,10,120,rbf,10.0,0.1,0.01,3,6.201940971568032,0.8738567884630527,9.892116199293556,14.811826158941642
A,15,10,120,linear,0.1,0.01,scale,3,5.205507237748529,0.8650177709564092,13.45318368789313,17.030710243632978
A,15,10,120,linear,0.1,0.01,0.01,2,5.205507237748529,0.8650177709564092,13.45318368789313,17.030710243632978
A,15,10,120,linear,0.1,0.01,0.01,3,5.205507237748529,0.8650177709564092,13.45318368789313,17.030710243632978
A,15,10,120,linear,0.1,0.1,scale,2,5.205895208562146,0.8650318480941973,13.453357167408411,17.03068162889732
A,15,10,120,linear,0.1,0.1,scale,3,5.205895208562146,0.8650318480941973,13.453357167408411,17.03068162889732
A,15,10,120,linear,0.1,0.1,0.01,2,5.205895208562146,0.8650318480941973,13.453357167408411,17.03068162889732
A,15,10,120,linear,0.1,0.1,0.01,3,5.205895208562146,0.8650318480941973,13.453357167408411,17.03068162889732
